+----------------+---------+-------------+----------+-------------+-----------+
|     Method     |   Size  | Vector Type | Time (s) | Comparisons | Movements |
+----------------+---------+-------------+----------+-------------+-----------+
| Insert         |     100 | OrdA        | 0.0040686131 |        2534 |      2637 |
| Insert         |     100 | OrdC        | 0.0004794598 |          99 |       198 |
| Insert         |     100 | OrdD        | 0.0015807152 |        4950 |      5148 |
| Shell          |     100 | OrdA        | 0.0009102821 |         747 |      1143 |
| Shell          |     100 | OrdC        | 0.0004091263 |         342 |       684 |
| Shell          |     100 | OrdD        | 0.0004920959 |         500 |       914 |
| Select         |     100 | OrdA        | 0.0007684231 |        4950 |       297 |
| Select         |     100 | OrdC        | 0.0006809235 |        4950 |         0 |
| Select         |     100 | OrdD        | 0.0007131100 |        4950 |       150 |
| Merge          |     100 | OrdA        | 0.0008080006 |         544 |       772 |
| Merge          |     100 | OrdC        | 0.0007858276 |         316 |       772 |
| Merge          |     100 | OrdD        | 0.0011358261 |         356 |       772 |
| Heap           |     100 | OrdA        | 0.0008707047 |        1020 |      1740 |
| Heap           |     100 | OrdC        | 0.0008983612 |        1081 |      1920 |
| Heap           |     100 | OrdD        | 0.0009646416 |         944 |      1548 |
| Insert         |    1000 | OrdA        | 0.0504813194 |      255971 |    256977 |
| Insert         |    1000 | OrdC        | 0.0008215904 |         999 |      1998 |
| Insert         |    1000 | OrdD        | 0.0733151436 |      499500 |    501498 |
| Shell          |    1000 | OrdA        | 0.0038506985 |       13221 |     19106 |
| Shell          |    1000 | OrdC        | 0.0016055107 |        5457 |     10914 |
| Shell          |    1000 | OrdD        | 0.0025508404 |        8550 |     14834 |
| Select         |    1000 | OrdA        | 0.0397531986 |      499500 |      2985 |
| Select         |    1000 | OrdC        | 0.0451552868 |      499500 |         0 |
| Select         |    1000 | OrdD        | 0.0516786575 |      499500 |      1500 |
| Merge          |    1000 | OrdA        | 0.0021669865 |        8725 |     10976 |
| Merge          |    1000 | OrdC        | 0.0018405914 |        4932 |     10976 |
| Merge          |    1000 | OrdD        | 0.0012040138 |        5044 |     10976 |
| Heap           |    1000 | OrdA        | 0.0022130013 |       16865 |     27204 |
| Heap           |    1000 | OrdC        | 0.0029845238 |       17583 |     29124 |
| Heap           |    1000 | OrdD        | 0.0025849342 |       15965 |     24948 |
| Insert         |   10000 | OrdA        | 1.6886200905 |    24826719 |  24836725 |
| Insert         |   10000 | OrdC        | 0.0015258789 |        9999 |     19998 |
| Insert         |   10000 | OrdD        | 3.3740501404 |    49995000 |  50014998 |
| Shell          |   10000 | OrdA        | 0.0323143005 |      236333 |    315999 |
| Shell          |   10000 | OrdC        | 0.0081088543 |       75243 |    150486 |
| Shell          |   10000 | OrdD        | 0.0254106522 |      120190 |    204190 |
| Select         |   10000 | OrdA        | 1.7309367657 |    49995000 |     29967 |
| Select         |   10000 | OrdC        | 1.7479848862 |    49995000 |         0 |
| Select         |   10000 | OrdD        | 1.8152682781 |    49995000 |     15000 |
| Merge          |   10000 | OrdA        | 0.0205175877 |      120390 |    143616 |
| Merge          |   10000 | OrdC        | 0.0132725239 |       64608 |    143616 |
| Merge          |   10000 | OrdD        | 0.0134716034 |       69008 |    143616 |
| Heap           |   10000 | OrdA        | 0.0275526047 |      235406 |    372756 |
| Heap           |   10000 | OrdC        | 0.0251197815 |      244460 |    395868 |
| Heap           |   10000 | OrdD        | 0.0219829082 |      226682 |    350088 |
| Insert         | 1000000 | OrdC        | 0.1465132236 |      999999 |   1999998 |
| Shell          | 1000000 | OrdA        | 12.0090999603 |    67126907 |  79340396 |
| Shell          | 1000000 | OrdC        | 3.0323317051 |    11804265 |  23608530 |
| Shell          | 1000000 | OrdD        | 2.6876406670 |    17578626 |  29853914 |
| Merge          | 1000000 | OrdA        | 5.7188332081 |    18673687 |  20951424 |
| Merge          | 1000000 | OrdC        | 4.1523737907 |     9884992 |  20951424 |
| Merge          | 1000000 | OrdD        | 3.7859890461 |    10066432 |  20951424 |
| Heap           | 1000000 | OrdA        | 13.9925024509 |    36794409 |  57144462 |
| Heap           | 1000000 | OrdC        | 4.8204793930 |    37692069 |  59363376 |
| Heap           | 1000000 | OrdD        | 4.7424485683 |    36001436 |  55000224 |
+----------------+---------+-------------+----------+-------------+-----------+
